model_type,activation,bn,aug,mnist_rot_mean,mnist_rot_std,mnist_rot_train_time_mean_min,mnist_rot_train_time_std_min,eurosat_mean,eurosat_std,eurosat_train_time_mean_min,eurosat_train_time_std_min,colorectal_hist_mean,colorectal_hist_std,colorectal_hist_train_time_mean_min,colorectal_hist_train_time_std_min
equivariant,fourier_elu_16,Normbn,False,0.9858,0.0004,5.63,0.22,,,,,,,,
equivariant,fourier_elu_16,Normbn,True,0.9889,0.0005,,,,,,,,,,
equivariant,fourier_relu_16,Normbn,False,0.9888,0.0008,5.53,0.22,0.9657,0.0067,94.73,6.89,0.936,0.005,50.15,3.67
equivariant,fourier_relu_16,Normbn,True,0.9901,0.0004,,,0.972,0.0037,,,0.9397,0.0055,,
equivariant,fourierbn_elu_16,Normbn,False,0.9877,0.0005,5.19,0.22,,,,,,,,
equivariant,fourierbn_elu_16,Normbn,True,0.9895,0.0002,,,,,,,,,,
equivariant,fourierbn_relu_16,Normbn,False,0.9902,0.0004,4.91,0.44,0.9665,0.0072,84.92,5.19,0.9355,0.0051,40.35,3.52
equivariant,fourierbn_relu_16,Normbn,True,0.9909,0.0004,,,0.9736,0.0027,,,0.9472,0.0066,,
equivariant,fourierbn_relu_32,Normbn,False,0.9903,0.0005,6.62,0.36,,,,,,,,
equivariant,fourierbn_relu_32,Normbn,True,0.991,0.0002,,,,,,,,,,
equivariant,fourierbn_relu_64,Normbn,False,0.9899,0.0004,9.92,0.92,,,,,,,,
equivariant,fourierbn_relu_64,Normbn,True,0.9908,0.0004,,,,,,,,,,
equivariant,gated_shared_sigmoid,Normbn,False,0.9877,0.001,4.35,0.13,0.9546,0.0036,73.13,4.07,0.9232,0.0091,41.72,2.55
equivariant,gated_shared_sigmoid,Normbn,True,0.9893,0.0004,,,0.9647,0.0034,,,0.9445,0.0058,,
equivariant,gated_sigmoid,Normbn,False,0.9882,0.0005,5.04,0.11,0.9586,0.0028,82.95,5.5,0.9237,0.0092,46.61,2.19
equivariant,gated_sigmoid,Normbn,True,0.9893,0.0005,,,0.9655,0.0042,,,0.9445,0.0072,,
equivariant,norm_relu,Normbn,False,0.987,0.0005,5.69,0.17,0.9484,0.0049,87.56,6.18,0.9029,0.0108,47.76,1.81
equivariant,norm_relu,Normbn,True,0.9876,0.0007,,,0.9552,0.007,,,0.92,0.009,,
equivariant,norm_squash,Normbn,False,0.9805,0.0008,5.89,0.25,,,,,,,,
equivariant,norm_squash,Normbn,True,0.9845,0.0005,,,,,,,,,,
equivariant,normbn_elu,Normbn,False,0.9718,0.0011,5.28,0.16,,,,,,,,
equivariant,normbn_elu,Normbn,True,0.9689,0.0009,,,,,,,,,,
equivariant,normbn_relu,Normbn,False,0.9779,0.0008,5.13,0.16,0.9488,0.006,79.81,5.2,0.8763,0.0134,37.78,1.66
equivariant,normbn_relu,Normbn,True,0.9816,0.0006,,,0.9629,0.002,,,0.9163,0.0064,,
equivariant,normbn_sigmoid,Normbn,False,0.9711,0.0018,5.26,0.23,,,,,,,,
equivariant,normbn_sigmoid,Normbn,True,0.9782,0.0005,,,,,,,,,,
equivariant,normbnvec_elu,Normbn,False,0.985,0.0006,4.88,0.12,,,,,,,,
equivariant,normbnvec_elu,Normbn,True,0.9859,0.0008,,,,,,,,,,
equivariant,normbnvec_relu,Normbn,False,0.9857,0.0005,4.8,0.13,0.9531,0.0037,76.98,3.58,0.8928,0.0171,37.64,1.33
equivariant,normbnvec_relu,Normbn,True,0.9878,0.0005,,,0.9578,0.0056,,,0.9232,0.0127,,
equivariant,normbnvec_sigmoid,Normbn,False,0.9797,0.0006,4.84,0.18,,,,,,,,
equivariant,normbnvec_sigmoid,Normbn,True,0.9841,0.0002,,,,,,,,,,
resnet18,norm_relu,Normbn,False,0.9361,0.0019,1.38,0.04,0.923,0.0073,2.39,0.14,0.8901,0.0124,2.19,0.08
resnet18,norm_relu,Normbn,True,0.983,0.0005,,,0.9674,0.0032,,,0.9701,0.0055,,
