activation,bn,error_metric_net,error_metric_1layer,error_metric_2layer,error_metric_3layer,error_metric_4layer,error_metric_5layer,error_metric_6layer
fourier_elu_16,IIDbn,0.9109458005897124,0.25923809305722045,0.0,0.14740005566631567,7.853857437369879e-10,0.0,0.022001474400295252
fourier_elu_16,Normbn,0.910703430793393,0.25291931861880246,0.0,0.14740817492023553,7.896676305141685e-10,0.0,0.02220766514018635
fourier_elu_32,IIDbn,0.9107379521061404,0.25358060881729044,0.0,0.14740531067155302,7.86955901245368e-10,0.0,0.020938763968942453
fourier_elu_32,Normbn,0.9106962915370247,0.25035894449650015,0.0,0.14740553567518475,7.838808150642599e-10,0.0,0.021047268566258028
gated_shared_sigmoid,IIDbn,0.9103193946048549,0.2503825537324616,0.14740311369092468,0.02197617879501763,0.21394326469868757,0.14742936156731049,0.028606822088602258
gated_shared_sigmoid,Normbn,0.9103147667417459,0.24936994838669477,0.1474049743555952,0.022226252071303066,0.21253844397787702,0.14742893180652458,0.02908454475144424
gated_sigmoid,IIDbn,0.9098502664182604,0.24961547149335672,0.1474066776600324,0.020337583328102937,0.21540167446754593,0.14742567382753008,0.03034402388700528
gated_sigmoid,Normbn,0.9101784821886583,0.2523067054615694,0.14740821253517994,0.021091872722658424,0.21302134192062566,0.14742559412412676,0.03210608795546932
norm_relu,IIDbn,0.9149554905786829,0.2316692852891265,0.1474132098433813,0.09438158246057356,0.24849466756008667,0.14742726398463332,0.09127256274895217
norm_relu,Normbn,0.9145768669820115,0.23577941520422882,0.14740715809026028,0.08784438450019535,0.25255686163455665,0.14742923817247516,0.09395596007813652
norm_squash,IIDbn,0.9118799389055681,0.23399596328278277,0.14740307803230338,0.04444331467214511,0.23729643962582259,0.1474303397857227,0.040074165228446645
norm_squash,Normbn,0.9117359347853864,0.22948779791667562,0.1474048569800317,0.04455613501842777,0.2338479110971292,0.14742958466458161,0.040745188784939046
