activation,bn,test_acc_mean,test_acc_std,test_invar_error_mean,test_invar_error_std
fourier_elu,IIDbn,0.9906240046024323,0.00021597733406853806,0.15488069206476213,0.0037934407823999104
fourier_elu,Normbn,0.9905660092830658,0.0003798310283865918,0.14982654750347138,0.004788327539482262
fourier_relu,IIDbn,0.9907480001449585,0.00040278770796983243,0.1671879306435585,0.00631448694782131
fourier_relu,Normbn,0.9906759977340698,0.0002366094192208231,0.16152846068143845,0.005390694102275623
gated_shared_sigmoid,IIDbn,0.989165997505188,0.0015995027528950814,0.17198104411363602,0.00691191471147423
gated_shared_sigmoid,Normbn,0.9892340064048767,0.0003791398518738687,0.17193451523780823,0.002143099344289223
gated_sigmoid,IIDbn,0.9894859969615937,0.000612832106098717,0.20629464834928513,0.006936811529195389
gated_sigmoid,Normbn,0.989000004529953,0.0009720552832764429,0.20187727212905884,0.006189541959138981
norm_relu,IIDbn,0.9821999907493592,0.0013998110267549797,0.17568234205245972,0.004474246103744757
norm_relu,Normbn,0.9822440028190613,0.001301138409521222,0.17905593961477279,0.008383257196898265
norm_squash,IIDbn,0.9829559981822967,0.0008054134485417222,0.06875988990068435,0.005166949857328896
norm_squash,Normbn,0.9848660111427308,0.0004366508166054242,0.05819638632237911,0.002543222516052221
